test_case_id,model_name,overall_score,factual_accuracy,relevance,reasoning_quality,hallucination_risk,instruction_adherence,flags
tc1,ModelA,3.7,3.0,1.0,5.0,5.0,5.0,
tc1,ModelB,3.25,2.0,2.0,3.0,5.0,5.0,
tc1,ModelC,3.05,2.0,1.0,5.0,3.0,5.0,possible_hallucination
tc2,ModelA,3.5,3.0,3.0,5.0,5.0,1.0,instruction_miss
tc2,ModelB,3.05,2.0,3.0,4.0,5.0,1.0,instruction_miss
tc2,ModelC,3.05,2.0,2.0,5.0,5.0,1.0,instruction_miss
tc3,ModelA,2.85,2.0,1.0,2.0,5.0,5.0,weak_reasoning
tc3,ModelB,2.4,1.0,1.0,4.0,5.0,1.0,instruction_miss
tc3,ModelC,2.85,2.0,1.0,2.0,5.0,5.0,weak_reasoning
tc4,ModelA,2.9,3.0,3.0,2.0,5.0,1.0,instruction_miss; weak_reasoning
tc4,ModelB,2.4,1.0,3.0,2.0,5.0,1.0,instruction_miss; weak_reasoning
tc4,ModelC,2.9,3.0,3.0,2.0,5.0,1.0,instruction_miss; weak_reasoning
tc5,ModelA,3.1,3.0,3.0,3.0,5.0,1.0,instruction_miss
tc5,ModelB,2.4,1.0,2.0,4.0,4.0,1.0,instruction_miss
tc5,ModelC,2.85,2.0,3.0,3.0,5.0,1.0,instruction_miss
